timestamp (seconds since 01/01/1970), system, entity , value (m)
1652101053.333679, lauv-thor, 62, 0.704108
1652101053.335509, lauv-thor, 62, 0.704108
1652101053.382874, lauv-thor, 73, 0.736185
1652101053.537507, lauv-thor, 62, 0.682322
1652101053.539182, lauv-thor, 62, 0.682322
1652101053.732178, lauv-thor, 62, 0.676380
1652101053.734172, lauv-thor, 62, 0.676380
1652101053.932090, lauv-thor, 62, 0.681331
1652101053.934117, lauv-thor, 62, 0.681331
1652101054.135217, lauv-thor, 62, 0.675390
1652101054.137038, lauv-thor, 62, 0.675390
1652101054.337055, lauv-thor, 62, 0.667467
1652101054.338828, lauv-thor, 62, 0.667467
1652101054.383381, lauv-thor, 73, 0.726237
1652101054.530985, lauv-thor, 62, 0.655584
1652101054.532906, lauv-thor, 62, 0.655584
1652101054.736128, lauv-thor, 62, 0.645680
1652101054.738019, lauv-thor, 62, 0.645680
1652101054.933342, lauv-thor, 62, 0.652613
1652101054.935332, lauv-thor, 62, 0.652613
1652101055.133400, lauv-thor, 62, 0.637758
1652101055.135481, lauv-thor, 62, 0.637758
1652101055.332971, lauv-thor, 62, 0.643700
1652101055.335242, lauv-thor, 62, 0.643700
1652101055.383248, lauv-thor, 73, 0.756082
1652101055.534210, lauv-thor, 62, 0.662516
1652101055.535918, lauv-thor, 62, 0.662516
1652101055.734111, lauv-thor, 62, 0.673409
1652101055.736254, lauv-thor, 62, 0.673409
1652101055.936301, lauv-thor, 62, 0.693215
1652101055.938054, lauv-thor, 62, 0.693215
1652101056.133572, lauv-thor, 62, 0.690244
1652101056.135965, lauv-thor, 62, 0.690244
1652101056.331531, lauv-thor, 62, 0.685293
1652101056.333176, lauv-thor, 62, 0.685293
1652101056.382967, lauv-thor, 73, 0.766031
1652101056.535351, lauv-thor, 62, 0.686283
1652101056.537107, lauv-thor, 62, 0.686283
1652101056.731292, lauv-thor, 62, 0.691234
1652101056.733064, lauv-thor, 62, 0.691234
1652101056.934345, lauv-thor, 62, 0.718963
1652101056.936124, lauv-thor, 62, 0.718963
1652101057.132390, lauv-thor, 62, 0.713021
1652101057.134231, lauv-thor, 62, 0.713021
1652101057.331114, lauv-thor, 62, 0.720944
1652101057.332859, lauv-thor, 62, 0.720944
1652101057.385865, lauv-thor, 73, 0.795876
1652101057.533966, lauv-thor, 62, 0.715992
1652101057.535455, lauv-thor, 62, 0.715992
1652101057.733276, lauv-thor, 62, 0.711041
1652101057.735324, lauv-thor, 62, 0.711041
1652101057.932248, lauv-thor, 62, 0.702128
1652101057.934136, lauv-thor, 62, 0.702128
1652101058.132267, lauv-thor, 62, 0.687273
1652101058.134108, lauv-thor, 62, 0.687273
1652101058.330707, lauv-thor, 62, 0.678361
1652101058.332360, lauv-thor, 62, 0.678361
1652101058.387774, lauv-thor, 73, 0.726237
1652101058.531783, lauv-thor, 62, 0.669448
1652101058.533353, lauv-thor, 62, 0.669448
1652101058.731752, lauv-thor, 62, 0.668458
1652101058.733331, lauv-thor, 62, 0.668458
1652101058.931700, lauv-thor, 62, 0.672419
1652101058.933326, lauv-thor, 62, 0.672419
1652101059.131526, lauv-thor, 62, 0.645680
1652101059.133225, lauv-thor, 62, 0.645680
1652101059.330292, lauv-thor, 62, 0.626865
1652101059.332081, lauv-thor, 62, 0.626865
1652101059.383507, lauv-thor, 73, 0.646649
1652101059.532418, lauv-thor, 62, 0.594185
1652101059.534312, lauv-thor, 62, 0.594185
1652101059.722538, lauv-thor, 62, 0.574378
1652101059.724263, lauv-thor, 62, 0.574378
